size_log2, sha256, md5, djb2, blueimp-md5
6, 0.015265570141963059, 0.0023108728394491173, 0.0012130154168991532, 0.0066501834020481435
7, 0.01443190836940837, 0.002069942355059715, 0.0016124124020508851, 0.010232376713730307
8, 0.014412517365614644, 0.0023310140323069394, 0.0015017232058386273, 0.016473933454126205
9, 0.015076731343283566, 0.002891924522845572, 0.0018686808932075148, 0.03186516406498886
10, 0.015363005683563758, 0.0039941206166626796, 0.0028888431406534315, 0.06566174261326338
11, 0.016198729996760603, 0.0061648661077549185, 0.004342985451229055, 0.13030143229166669
12, 0.020276446178795874, 0.010504135595000498, 0.006965704882635647, 0.35599021352313315
13, 0.017093075200820367, 0.01920983787936999, 0.013133803939592879, 0.7152592285714263
14, 0.02181790837696337, 0.03671328928046992, 0.02500245825000002, 1.4814736617647066
15, 0.03517694020400987, 0.07313398538011677, 0.04932223865877722, 3.0924999999999936
16, 0.05722375572082384, 0.14474939797394967, 0.09618982307692232, 6.154737764705875
17, 0.09739698928919213, 0.28797796839080286, 0.18793519324577918, 12.543140624999978
18, 0.17155610291595233, 0.5646161067415756, 0.37761116226415226, 25.540750000000116
19, 0.34544066206896695, 1.1304564606741498, 0.7540927293233138, 50.56639999999989
20, 0.7374515882352907, 2.27836268181818, 1.5013700149253706, 98.4073832
21, 1.4011388888888834, 4.600001863636366, 2.9847904411764885, 205.45569159999997
22, 2.715862594594615, 9.106791727272718, 6.042362764705852, 412.58249160000014
