filter,name,time
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/filters.qmd,3013
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/project-types.qmd,3003.9999999999854
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/listing-formats.qmd,5005
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/creating.qmd,4004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/metadata.qmd,8004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/managing.qmd,4003
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/starter-templates.qmd,4003
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/listing-revealjs.qmd,4001
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/gallery/index.qmd,5013
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/index.qmd,4005
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/advanced.qmd,3002
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/themes.qmd,2991.999999999971
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/background-gradient.qmd,3013
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/incremental-lists-1.qmd,5009
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/creating-slides-2.qmd,4004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/creating-slides-3.qmd,4004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/demo/mini/fragments-custom.qmd,3004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/demo/mini/auto-animate-stack.qmd,3015
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/demo/index.qmd,3995
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/presenting.qmd,2998.000000000029
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/powerpoint.qmd,2993
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/beamer.qmd,3995
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/troubleshooting/index.qmd,4004.0000000000146
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/download/changelog/1.1/index.qmd,3994
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/download/changelog/1.4/index.qmd,2006
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/download/release.qmd,5001.000000000015
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/download/prerelease.qmd,7013
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/download/tarball.qmd,5015.999999999985
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/faq/rmarkdown.qmd,4003
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/faq/index.qmd,3003
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/tools/rstudio.qmd,3002
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/tools/vscode.qmd,3005
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/tools/jupyter-lab-extension.qmd,2992
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/tools/text-editors.qmd,3992
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/tools/jupyter-lab.qmd,2994
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/tools/neovim.qmd,3994
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/tools/vscode-notebook.qmd,4003
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/books/book-structure.qmd,2995
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/books/book-crossrefs.qmd,3002
