filter,name,time
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/revealjs.qmd,3004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/filters.qmd,3004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/project-types.qmd,3013
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/listing-formats.qmd,4994
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/creating.qmd,4014
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/metadata.qmd,8013.000000000015
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/managing.qmd,4004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/starter-templates.qmd,4004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/extensions/listing-revealjs.qmd,4002
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/gallery/index.qmd,4013
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/index.qmd,2994
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/advanced.qmd,3995
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/creating-slides-1.qmd,4004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/incremental-lists-1.qmd,3004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/index.qmd,3004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/creating-slides-2.qmd,4013
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/line-highlighting-3.qmd,3004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/slide-with-speaker-notes.qmd,4014
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/executable-code-figure-size.qmd,3013
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/examples/creating-slides-3.qmd,4014
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/demo/mini/absolute.qmd,3005
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/demo/mini/stack.qmd,3004
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/demo/index.qmd,3973
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/revealjs/presenting.qmd,2998
normalize-capture-reader-state,/home/cscheid/repos/github/quarto-dev/quarto-web/docs/presentations/powerpoint.qmd,3002
